model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
CatBoost,arousal,lag_4,-0.0012441526128680962,0.047931053099158405,-0.026784807949463335,0.024296502723727145,-0.003943892954860705,0.8018497776021329,0.20861291154381806,16
CatBoostOptuna,arousal,lag_4,-0.0026228730089480857,0.05154784835703058,-0.03009078249773652,0.024845036479840345,0.005094889139999051,0.8318232052396457,0.3194204694182786,16
RidgeCV,arousal,lag_400ms,0.016140708842164793,0.036706620647304566,-0.0034188686322641527,0.035700286316593735,0.03478318057808496,0.8759982823421473,0.4040004978691324,16
CatBoostOptuna,arousal,lag_400ms,0.015206949610373378,0.06171429483539201,-0.017678276809979212,0.048092176030725964,0.03334821725544416,0.8051662768829595,0.32043862687307934,16
Ensemble,arousal,lag_400ms,0.010384283735606683,0.035036574381476976,-0.008285388900231947,0.02905395637144531,0.03362532156390891,0.8304728073962615,0.25397350467969243,16
CatBoost,arousal,lag_400ms,0.0035476057607359036,0.053811135140146134,-0.025126324124388043,0.03222153564585985,0.007342442923992512,0.792745231619967,0.21551725133653882,16
MeanBaseline,arousal,lag_400ms,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
XGBoost,arousal,lag_400ms,-0.0006104908625096375,0.036899890212099294,-0.020273054418451626,0.01905207269343235,-0.0011812178555316247,0.8077788663636305,0.27924919596666054,16
SVR,arousal,lag_400ms,-0.000960284802496993,0.03418979199676668,-0.019178738956066026,0.017258169351072036,0.02586965642328824,0.8904572984929099,0.25712173205414934,16
CatBoostOptuna,arousal,missingness,0.006796057860561578,0.033797668582763035,-0.01121344847486214,0.024805564195985296,0.01043312306644258,0.8559975534675037,0.16634292701185088,16
XGBoost,arousal,missingness,0.0051700160089854655,0.04484978739765884,-0.018728748732807582,0.02906878075077851,0.013933753502070526,0.8542423122886229,0.18556148026182095,16
CatBoost,arousal,missingness,0.0015927267588972888,0.03887073629963825,-0.019120026546457766,0.022305480064252342,-0.0004823097420479233,0.8507891860829466,0.1582196901502732,16
MeanBaseline,arousal,missingness,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
SVR,arousal,missingness,-0.0009403268600010813,0.018777046011684763,-0.010945908407139077,0.009065254687136915,0.0035714766662923204,0.8090170750472037,0.051891824496153115,16
Ensemble,arousal,missingness,-0.0038368748944453473,0.02355850611502315,-0.016390316682676005,0.008716566893785308,-0.023109225092998634,0.8037540091750711,0.07780221571858965,16
RidgeCV,arousal,missingness,-0.005646920478736249,0.02151560884488855,-0.01711177915245371,0.0058179381949812125,-0.062004416952971854,0.8082947581599009,0.07469601122952259,16
CatBoost,arousal,own_signal,0.08181368584375813,0.08224727043024255,0.03798720904824932,0.12564016263926694,0.1813690156269367,0.7603964591096471,0.29443382103109667,16
XGBoost,arousal,own_signal,0.06674731474472714,0.09377198039927241,0.016779753492670413,0.11671487599678387,0.12954690339370517,0.7812972810011398,0.3250501571706471,16
CatBoostOptuna,arousal,own_signal,0.060631130535144226,0.08793012046302723,0.013776476709670249,0.1074857843606182,0.12363609681000653,0.7863017876421752,0.35382382402058343,16
RidgeCV,arousal,own_signal,0.03959868334440579,0.05933881887957824,0.007979258710679789,0.0712181079781318,0.10313059799549762,0.8013076876947381,0.2839795912490029,16
Ensemble,arousal,own_signal,0.03848526953515083,0.04831286010540751,0.012741163606065333,0.06422937546423632,0.14202643875690732,0.7775235617841549,0.19499048877847824,16
SVR,arousal,own_signal,0.00012631365698853939,0.0391601817846122,-0.020740674260219496,0.020993301574196575,0.011361386038691239,0.8285938739829544,0.1771614140443471,16
MeanBaseline,arousal,own_signal,5.017037473201237e-32,2.5278867875748435e-31,-8.453120388303304e-32,1.8487195334705777e-31,,0.7763702322792089,5.523591269471042e-16,16
SVR,arousal,random_dyad,0.028753067298664635,0.10082103245965564,-0.024970668656074058,0.08247680325340333,0.039334280121821094,0.9088620993976483,0.36213665522154775,16
Ensemble,arousal,random_dyad,0.025637386361316017,0.10471612908881699,-0.030161900078456573,0.0814366728010886,0.0609758076002313,0.8674027155604367,0.35350988449130805,16
RidgeCV,arousal,random_dyad,0.012596294927267139,0.0773964769455681,-0.0286453764761138,0.05383796633064808,0.030108807287307054,1.0063433517715694,0.5176125690263401,16
CatBoost,arousal,random_dyad,0.011857002984689044,0.10252083947046149,-0.04277249619022982,0.06648650215960791,0.047092948267803955,0.7840260836749436,0.2907318741754933,16
XGBoost,arousal,random_dyad,0.002131642337520945,0.09983295428329525,-0.051065583922222636,0.055328868597264526,0.018251581606751242,0.7999426496356797,0.37275673486299454,16
CatBoostOptuna,arousal,random_dyad,0.001187339088462979,0.10857138431148375,-0.05666626784940168,0.059040946026327645,0.01181571310036754,0.8585742923227496,0.5705083315972045,16
MeanBaseline,arousal,random_dyad,9.361823436473708e-33,1.270161894164854e-31,-5.832032636613746e-32,7.704397323908489e-32,,0.7752404200522511,4.785703911779724e-16,16
CatBoostOptuna,valence,circ_shift,0.014847537373237445,0.03654242920973273,-0.004624548659942194,0.03431962340641709,0.0007849515984344171,0.2624015345626553,0.29334498330917025,16
RidgeCV,valence,circ_shift,0.009184978656380377,0.028637592739731023,-0.006074917351372788,0.02444487466413354,0.03297063560216623,0.2800333887592439,0.2975152433458274,16
Ensemble,valence,circ_shift,0.00515027016658197,0.018393752813951857,-0.0046510688525250804,0.01495160918568902,0.009136015758266655,0.25725292751023854,0.1658517886261996,16
CatBoost,valence,circ_shift,0.0028279293878968,0.03044842175987351,-0.013396889292873448,0.01905274806866705,-0.02239650107202812,0.2631765244993036,0.27451614933368024,16
SVR,valence,circ_shift,9.890348997477605e-06,3.306458271446481e-05,-7.728523452736061e-06,2.750922144769127e-05,-0.008653067681364549,0.241563453473722,0.00012529807101842764,16
MeanBaseline,valence,circ_shift,1.633096669053588e-30,7.122856529286549e-30,-2.1624056590544295e-30,5.4285989971616054e-30,,0.24486782976683952,1.760910869134826e-15,16
XGBoost,valence,circ_shift,-0.0014763059530941143,0.035632093943249676,-0.02046330856376077,0.01751069665757254,-0.009969661905385662,0.28571569287436666,0.4438616305253119,16
SVR,valence,label_ar_combined,0.3206190887523448,0.2783147679536298,0.16649350751477823,0.4747446699899115,0.34486319554076694,0.2255078679011882,0.9747349682072306,16
Ensemble,valence,label_ar_combined,0.2890908497958403,0.2673364815643837,0.14663729426038183,0.4315444053312988,0.3558328762698424,0.20052090187369837,0.671880909974868,16
RidgeCV,valence,label_ar_combined,0.2657815917058548,0.24973124278670736,0.13270920571843173,0.3988539776932779,0.35472027472251044,0.197204985325658,0.5432622286205652,16
CatBoost,valence,label_ar_combined,0.2589277777867266,0.23911316020179302,0.13151336862438526,0.38634218694906797,0.3446834269777887,0.20166951968866206,0.5508446392182668,16
CatBoostOptuna,valence,label_ar_combined,0.25523123573360895,0.23788951718449614,0.1284688599095537,0.3819936115576642,0.32117992854753746,0.2125034469161695,0.6563097498432919,16
XGBoost,valence,label_ar_combined,0.25308778612119764,0.23372223406353113,0.12854599872574185,0.37762957351665344,0.3321623560999664,0.206254238005883,0.575391488204426,16
MeanBaseline,valence,label_ar_combined,4.897754014253915e-31,2.2996268221884595e-30,-7.3560923485201405e-31,1.7151600377027972e-30,,0.2422244532543447,2.5466054756823333e-15,16
SVR,valence,label_ar_own,0.3005803957052526,0.28057076985088314,0.15107478573127903,0.45008600567922613,0.3448631955405725,0.22550786790222857,0.9747349682150835,16
Ensemble,valence,label_ar_own,0.29086676994748517,0.2696907072353764,0.1471587361028813,0.434574803792089,0.35737318356320324,0.19974292257007306,0.6745278844599271,16
XGBoost,valence,label_ar_own,0.2710948036647069,0.24963747007677067,0.13807238562727892,0.4041172217021349,0.3560661645370979,0.1988608198079076,0.5796702671063539,16
