model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,n_sessions
CatBoost,valence,lag_400ms,0.0084557957935012,0.030377216931839625,-0.007731080512680434,0.024642672099682836,0.02706423126120574,0.2673628595650976,16
Ensemble,valence,lag_400ms,0.0006330805485751406,0.02217082047651078,-0.011180915758758916,0.012447076855909199,0.0015633654094341107,0.2657611668762748,16
SVR,valence,lag_400ms,0.00017241612755274286,0.0005123127011625746,-0.00010057604096656687,0.0004454082960720526,0.0265683687520334,0.2425026185661809,16
MeanBaseline,valence,lag_400ms,1.633096669053588e-30,7.122856529286549e-30,-2.1624056590544295e-30,5.4285989971616054e-30,,0.24486782976683952,16
RidgeCV,valence,lag_400ms,-0.0049773566228163545,0.03647936804180256,-0.024415839731564193,0.014461126485931486,-0.013256524812547323,0.30619601235829774,16
XGBoost,valence,lag_400ms,-0.007155629001068626,0.030026063294892432,-0.023155388742277114,0.00884413074013986,-0.01944749669365087,0.2863327628773278,16
CatBoost,valence,own_signal,0.01773948704193718,0.05266697848380666,-0.010324764796885905,0.04580373888076027,0.04837298008048035,0.26107647653937427,16
Ensemble,valence,own_signal,0.007340144993409408,0.022957226858379268,-0.004892897695239285,0.019573187682058103,0.0294692189532875,0.26326480223868787,16
RidgeCV,valence,own_signal,0.001359015725327009,0.024382237678311068,-0.011633361629461873,0.01435139308011589,-0.01128114097639804,0.3000590573315195,16
MeanBaseline,valence,own_signal,-3.1005678103554323e-30,1.0137948058348221e-29,-8.502699005823017e-30,2.3015633851121516e-30,,0.2455658905717982,16
SVR,valence,own_signal,-8.204228371973194e-06,3.1523351002872475e-05,-2.5001836414368084e-05,8.593379670421698e-06,0.007422875692671366,0.24222904368090079,16
XGBoost,valence,own_signal,-0.0037462054005120045,0.041260732584111455,-0.02573249782947428,0.018240087028450272,-0.013514368019468684,0.2739233009433467,16
MeanBaseline,valence,random_dyad,-2.6644180174357866e-31,1.852392021519154e-30,-1.253511834859758e-30,7.2062823137260055e-31,,0.23876632573178086,16
SVR,valence,random_dyad,-0.0010652699338590278,0.003952757153958414,-0.0031715455437367843,0.0010410056760187284,-0.007797012113873577,0.23604815063888332,16
RidgeCV,valence,random_dyad,-0.0018868631205934717,0.054326125097340056,-0.03083521178327457,0.027061485542087628,0.0013233558846243486,0.27790459590395566,16
Ensemble,valence,random_dyad,-0.0034647461991261577,0.04382731047402315,-0.026818671447362157,0.01988917904910984,-0.02638992053209193,0.25147200506325423,16
CatBoost,valence,random_dyad,-0.012792542380930236,0.03764093728997141,-0.032849982051214366,0.007264897289353898,-0.03989970296760144,0.265379740964365,16
XGBoost,valence,random_dyad,-0.019893010716323184,0.0423119399864369,-0.042439452030279254,0.0026534305976328824,-0.04565988517955473,0.27549580240142674,16
